"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2020",6,6,0,215083.333333333,1693.16666666667,124.333333333333
"2","01002","2020",2,2,0,80125,2023,47
"3","01004","2020",223,122,101,162119.659192825,2018.9730941704,83.2017937219731
"4","01005","2020",25,19,6,282148.6,2680.76,101.96
"5","01006","2020",2,2,0,254237.5,2327,110
"6","01007","2020",20,18,2,180191.3,1835.15,98.45
"7","01008","2020",5,5,0,188810,2059.4,91.2
"8","01009","2020",7,6,1,138078.571428571,1371.14285714286,107.142857142857
"9","01010","2020",11,10,1,177236.363636364,1857.54545454545,101.636363636364
"10","01011","2020",2,2,0,181371.5,1417.5,127.5
"11","01012","2020",4,4,0,91250,1042.5,98.25
"12","01013","2020",7,7,0,88721.4285714286,865,91.2857142857143
"13","01014","2020",22,12,10,137295.454545455,1464.59090909091,86.3181818181818
"14","01015","2020",12,12,0,162208.333333333,1424.41666666667,119.583333333333
"15","01016","2020",5,5,0,156218,1341.4,115
"16","01017","2020",8,6,2,88683.75,1107,83.625
"17","01021","2020",22,16,6,262488.454545455,2583.45454545455,99.7272727272727
"18","01022","2020",14,13,1,146500.714285714,1293.5,113.428571428571
"19","01024","2020",29,23,6,189708.275862069,1901.20689655172,100.793103448276
"20","01025","2020",47,47,0,210817.659574468,1896.70212765957,115.744680851064
"21","01026","2020",9,9,0,192530,1738,105.777777777778
"22","01027","2020",19,18,1,306033.421052632,3134.89473684211,101.473684210526
"23","01028","2020",12,12,0,218210.833333333,1968.41666666667,121.5
"24","01029","2020",8,8,0,151997.5,1280.875,120.25
"25","01030","2020",23,8,15,177917.608695652,2130.5652173913,85.0434782608696
"26","01031","2020",21,9,12,128960.857142857,1694.7619047619,73.2380952380952
"27","01032","2020",25,19,6,281070.08,2791.32,105.04
"28","01033","2020",251,98,153,187814.988047809,2257.72111553785,83.7290836653386
"29","01034","2020",138,74,64,158647.630434783,1749.52898550725,91.8115942028985
"30","01035","2020",3,3,0,143333.333333333,1654.33333333333,84
"31","01036","2020",24,24,0,145963.333333333,1461.75,100.5
"32","01037","2020",5,4,1,123760,1618.2,81.4
"33","01038","2020",6,6,0,227693.333333333,1913.83333333333,111.333333333333
"34","01039","2020",8,8,0,135868.75,1958.125,82.375
"35","01040","2020",5,5,0,173896,1450.8,116.4
"36","01041","2020",11,11,0,151179.545454545,1701.81818181818,90
"37","01042","2020",4,4,0,251965,2128,122.5
"38","01043","2020",66,50,16,370676.287878788,3490.65151515152,107.409090909091
"39","01044","2020",1,1,0,238100,2506,95
"40","01045","2020",1,1,0,332805,2465,135
"41","01046","2020",11,11,0,271872.727272727,2294.09090909091,122.454545454545
"42","01047","2020",15,15,0,271223.4,2478.13333333333,116.533333333333
"43","01049","2020",39,33,6,311240,2974.4358974359,107.666666666667
"44","01050","2020",4,4,0,110500,1199.25,85.75
"45","01051","2020",2,2,0,151000,1658,94
"46","01052","2020",1,1,0,395000,2194,180
"47","01053","2020",572,148,424,139164.923076923,1741.24125874126,81.2115384615385
"48","01054","2020",20,20,0,228492.5,2664.5,90.85
"49","01056","2020",4,4,0,81218,919,85.75
"50","01057","2020",5,5,0,195170,2104.6,99
"51","01058","2020",11,11,0,160513.636363636,1729.45454545455,99.2727272727273
"52","01060","2020",9,8,1,147791.111111111,1075.66666666667,158.888888888889
"53","01061","2020",17,17,0,222239.411764706,2083.70588235294,116.941176470588
"54","01062","2020",13,11,2,312079.461538462,2652.53846153846,117.384615384615
"55","01063","2020",6,3,3,208901.833333333,2430.33333333333,87.1666666666667
"56","01064","2020",19,19,0,163180,1882.47368421053,90.8947368421053
"57","01065","2020",9,8,1,244200,1872.22222222222,132.888888888889
"58","01066","2020",5,5,0,109000,1030.8,94.6
"59","01067","2020",2,2,0,89250,799,113.5
"60","01068","2020",16,16,0,132781.25,1441.875,104.25
"61","01069","2020",13,9,4,179630.769230769,1886.76923076923,102.692307692308
"62","01071","2020",94,47,47,460691.808510638,4402.40425531915,105.223404255319
"63","01072","2020",32,25,7,202110.125,1970.5625,108.46875
"64","01073","2020",12,12,0,179805.833333333,1610.08333333333,115.833333333333
"65","01074","2020",31,20,11,199295.064516129,2087.1935483871,93.5483870967742
"66","01075","2020",16,15,1,248404.125,2344.75,107.625
"67","01076","2020",3,3,0,104666.666666667,1137.66666666667,92.6666666666667
"68","01077","2020",4,4,0,148000,2059.5,75.5
"69","01078","2020",17,11,6,378708.764705882,3870.58823529412,98.7647058823529
"70","01079","2020",10,9,1,180675,1492.9,128.9
"71","01080","2020",9,9,0,162738.888888889,1652,98.2222222222222
"72","01081","2020",10,7,3,203165,2028.1,97.7
"73","01082","2020",10,8,2,169010.2,2107.1,88.1
"74","01083","2020",11,8,3,230924.545454545,2629.18181818182,95.1818181818182
"75","01084","2020",14,12,2,180678.714285714,1793.57142857143,107.857142857143
"76","01085","2020",10,10,0,245805,2128.6,121.2
"77","01087","2020",3,2,1,140833.333333333,1600.33333333333,89.6666666666667
"78","01088","2020",4,4,0,275125,3081.5,93.25
"79","01089","2020",19,19,0,232946.842105263,2226.21052631579,106.421052631579
"80","01090","2020",4,4,0,340093,2648.5,126.75
"81","01092","2020",30,26,4,217036.5,1978.93333333333,114.1
"82","01093","2020",62,31,31,187874.177419355,2167.95161290323,89.5
"83","01094","2020",12,12,0,168866.333333333,1650,103.166666666667
"84","01095","2020",6,5,1,147666.666666667,995,155
"85","01096","2020",8,8,0,185251.875,1731.875,108.75
"86","01098","2020",12,12,0,210995.833333333,1689.91666666667,122.5
"87","01099","2020",13,12,1,214305.384615385,2372.23076923077,94
"88","01100","2020",4,4,0,115375,1213.75,91.5
"89","01101","2020",2,2,0,93675,688.5,131
"90","01102","2020",13,13,0,204568.461538462,1800.61538461538,118.230769230769
"91","01103","2020",30,13,17,383887.533333333,4404.3,88.0666666666667
"92","01104","2020",6,6,0,185283.333333333,2264.33333333333,89
